Date,Mkt-RF,SMB,HML,RF
20171002,0.5,0.84,0.16,0.004
20171003,0.26,-0.03,-0.02,0.004
20171004,0.05,-0.28,-0.45,0.004
20171005,0.55,-0.34,0.35,0.004
20171006,-0.08,-0.08,-0.25,0.004
20171009,-0.22,-0.28,-0.05,0.004
20171010,0.24,-0.01,0.41,0.004
20171011,0.16,-0.2,-0.22,0.004
20171012,-0.18,0.04,-0.51,0.004
20171013,0.04,-0.22,0.11,0.004
20171016,0.17,-0.28,0.37,0.004
20171017,0.01,-0.32,-0.27,0.004
20171018,0.14,0.3,0.21,0.004
20171019,0.02,-0.38,0.17,0.004
20171020,0.57,-0.07,0.28,0.004
20171023,-0.45,-0.42,0.12,0.004
20171024,0.2,-0.18,0.47,0.004
20171025,-0.51,-0.01,0.11,0.004
20171026,0.2,0.05,0.23,0.004
20171027,0.82,-0.03,-1.02,0.004
20171030,-0.46,-0.79,-0.06,0.004
20171031,0.23,0.81,-0.23,0.004
20171101,0.05,-0.79,0.15,0.004
20171102,0.06,-0.04,0.49,0.004
20171103,0.31,-0.42,-0.7,0.004
20171106,0.06,0.21,0.19,0.004
20171107,-0.2,-1.35,-0.37,0.004
20171108,0.12,0.06,-0.62,0.004
20171109,-0.41,-0.02,0.22,0.004
20171110,0.01,0.05,-0.38,0.004
20171113,0.09,-0.3,0.02,0.004
20171114,-0.22,-0.13,0,0.004
20171115,-0.52,-0.05,0.24,0.004
20171116,1.01,0.85,-0.52,0.004
20171117,-0.14,0.75,0.29,0.004
20171120,0.21,0.56,0,0.004
20171121,0.67,0.4,-0.35,0.004
20171122,-0.05,0.11,-0.03,0.004
20171124,0.21,0.02,-0.45,0.004
20171127,-0.06,-0.37,0.03,0.004
20171128,1.06,0.39,0.86,0.004
20171129,0.02,0.04,1.44,0.004
20171130,0.82,-0.56,-0.51,0.004
20171201,-0.22,-0.37,0.37,0.004
20171204,-0.1,-0.35,1.23,0.004
20171205,-0.43,-0.43,-0.24,0.004
20171206,-0.09,-0.46,-0.52,0.004
20171207,0.42,0.26,-0.17,0.004
20171208,0.51,-0.43,-0.13,0.004
20171211,0.26,-0.4,-0.14,0.004
20171212,0.07,-0.54,0.52,0.004
20171213,0.02,0.71,-0.88,0.004
20171214,-0.47,-0.69,-0.21,0.004
20171215,0.92,0.68,0.03,0.004
20171218,0.67,0.75,0.26,0.004
20171219,-0.3,-0.36,-0.26,0.004
20171220,0.01,0.36,0.05,0.004
20171221,0.24,0.27,0.63,0.004
20171222,-0.07,-0.23,-0.2,0.004
20171226,-0.07,0.34,-0.06,0.004
20171227,0.05,-0.13,-0.19,0.004
20171228,0.22,0.12,0.04,0.004
20171229,-0.57,-0.3,0.02,0.004
20180102,0.85,0.36,-0.22,0.005
20180103,0.59,-0.39,-0.21,0.005
20180104,0.42,-0.26,0.24,0.005
20180105,0.66,-0.34,-0.26,0.005
20180108,0.19,-0.16,0.07,0.005
20180109,0.15,-0.36,-0.02,0.005
20180110,-0.07,0.07,0.58,0.005
20180111,0.87,1.16,0.29,0.005
20180112,0.66,-0.3,0.17,0.005
20180116,-0.49,-1.02,-0.02,0.005
20180117,0.95,-0.02,-0.15,0.005
20180118,-0.18,-0.5,-0.25,0.005
20180119,0.57,0.94,-0.07,0.005
20180122,0.77,-0.34,-0.14,0.005
20180123,0.22,0.14,-0.33,0.005
20180124,-0.13,-0.79,0.39,0.005
20180125,0.07,0.17,-0.49,0.005
20180126,1.11,-0.62,-0.5,0.005
20180129,-0.62,-0.03,-0.26,0.005
20180130,-1.06,0.11,-0.17,0.005
20180131,-0.07,-0.72,0.06,0.005
20180201,0.03,0.1,0.5,0.006
20180202,-2.13,0.03,-0.27,0.006
20180205,-4.03,0.77,-0.56,0.006
20180206,1.67,-0.51,-0.23,0.006
20180207,-0.37,0.5,0.26,0.006
20180208,-3.67,0.82,0.48,0.006
20180209,1.36,-0.62,0.11,0.006
20180212,1.36,-0.44,-0.29,0.006
20180213,0.31,0.05,-0.23,0.006
20180214,1.52,0.27,0.46,0.006
20180215,1.21,-0.13,-0.65,0.006
20180216,0.03,0.35,0.13,0.006
20180220,-0.62,-0.36,-0.26,0.006
20180221,-0.43,0.78,0.2,0.006
20180222,0.01,0.04,-0.39,0.006
20180223,1.54,-0.36,-0.14,0.006
20180226,1.12,-0.48,-0.07,0.006
20180227,-1.25,-0.2,0.01,0.006
20180228,-1.1,-0.41,-0.31,0.006
20180301,-1.18,1.02,-0.04,0.006
20180302,0.7,1.16,-0.5,0.006
20180305,1.06,-0.39,0.25,0.006
20180306,0.36,0.67,0.1,0.006
20180307,0.05,0.8,-0.45,0.006
20180308,0.37,-0.49,-0.33,0.006
20180309,1.7,-0.27,0.28,0.006
20180312,-0.09,0.46,-0.06,0.006
20180313,-0.67,0.09,0,0.006
20180314,-0.53,0.23,-0.54,0.006
20180315,-0.18,-0.41,0.31,0.006
20180316,0.25,0.46,0.2,0.006
20180319,-1.38,0.34,0.41,0.006
20180320,0.15,-0.07,-0.39,0.006
20180321,-0.06,0.76,0.45,0.006
20180322,-2.54,0.5,-0.46,0.006
20180323,-2.09,0.21,-0.2,0.006
20180326,2.67,-0.7,0.02,0.006
20180327,-1.87,-0.25,0.4,0.006
20180328,-0.35,0.11,0.65,0.006
20180329,1.41,-0.29,-0.21,0.006
20180402,-2.29,-0.14,0.39,0.007
20180403,1.24,-0.05,0.17,0.007
20180404,1.17,0.32,-0.31,0.007
20180405,0.75,0.03,0.48,0.007
20180406,-2.19,0.4,-0.06,0.007
20180409,0.3,-0.15,-0.5,0.007
20180410,1.77,0.4,-0.12,0.007
20180411,-0.49,0.92,-0.31,0.007
20180412,0.84,-0.22,0.19,0.007
20180413,-0.37,0.02,-0.25,0.007
20180416,0.82,0.08,-0.04,0.007
20180417,1.09,0.16,-1.18,0.007
20180418,0.13,0.24,0.01,0.007
20180419,-0.49,-0.46,1.08,0.007
20180420,-0.81,0.06,0.62,0.007
20180423,-0.05,-0.08,0.2,0.007
20180424,-1.3,0.52,0.98,0.007
20180425,0.1,-0.33,0.01,0.007
20180426,0.96,-0.4,-0.85,0.007
20180427,0.01,-0.27,0.07,0.007
20180430,-0.8,0.04,-0.07,0.007
20180501,0.24,0.22,-0.53,0.006
20180502,-0.63,1.26,-0.28,0.006
20180503,-0.25,-0.5,-0.17,0.006
20180504,1.3,0.03,-0.23,0.006
20180507,0.42,0.42,-0.36,0.006
20180508,0.07,0.47,0.26,0.006
20180509,0.89,-0.2,0.24,0.006
20180510,0.84,-0.43,-0.04,0.006
20180511,0.19,0.11,-0.37,0.006
20180514,0.05,-0.35,0.12,0.006
20180515,-0.55,0.68,0.41,0.006
20180516,0.49,0.7,-0.24,0.006
20180517,0.02,0.9,0.25,0.006
20180518,-0.23,0.57,-0.58,0.006
20180521,0.72,-0.21,0.44,0.006
20180522,-0.42,-0.76,0.59,0.006
20180523,0.29,0.05,-0.72,0.006
20180524,-0.16,0.34,-0.31,0.006
20180525,-0.21,0.22,-0.4,0.006
20180529,-1.03,1.32,-1.03,0.006
20180530,1.31,0.07,0.35,0.006
20180531,-0.7,0.08,-0.4,0.006
20180601,1.06,-0.22,-0.13,0.006
20180604,0.48,0.16,-0.46,0.006
20180605,0.16,0.82,-0.41,0.006
20180606,0.86,-0.33,0.17,0.006
20180607,-0.14,-0.29,0.92,0.006
20180608,0.31,0.08,-0.41,0.006
20180611,0.12,0.18,-0.16,0.006
20180612,0.23,0.24,-0.62,0.006
20180613,-0.33,0.1,-0.21,0.006
20180614,0.27,0.32,-0.99,0.006
20180615,-0.08,0.03,-0.24,0.006
20180618,-0.09,0.74,0.09,0.006
20180619,-0.38,0.55,-0.18,0.006
20180620,0.23,0.73,-0.52,0.006
20180621,-0.73,-0.63,0.32,0.006
20180622,0.11,0.02,0.44,0.006
20180625,-1.48,-0.57,0.56,0.006
20180626,0.27,0.61,-0.2,0.006
20180627,-1.02,-0.99,0.39,0.006
20180628,0.58,-0.18,-0.51,0.006
20180629,0.07,-0.19,-0.24,0.006
20180702,0.36,0.44,-0.34,0.008
20180703,-0.44,0.77,0.08,0.008
20180705,0.87,0.42,-0.4,0.008
20180706,0.87,0.08,-0.37,0.008
20180709,0.93,-0.37,0.77,0.008
20180710,0.21,-0.81,-0.08,0.008
20180711,-0.69,-0.01,-0.52,0.008
20180712,0.86,-0.32,-1.09,0.008
20180713,0.08,-0.12,-0.28,0.008
20180716,-0.16,-0.74,0.84,0.008
20180717,0.48,0.24,-0.69,0.008
20180718,0.27,-0.25,0.6,0.008
20180719,-0.34,0.97,-0.37,0.008
20180720,-0.1,-0.16,0.08,0.008
20180723,0.15,-0.25,0.37,0.008
20180724,0.22,-1.38,0.52,0.008
20180725,0.83,-0.39,-1.21,0.008
20180726,-0.2,0.63,0.61,0.008
20180727,-0.82,-1.37,1.15,0.008
20180730,-0.7,-0.25,1.67,0.008
20180731,0.51,0.77,-0.97,0.008
20180801,-0.13,0.09,-0.3,0.007
20180802,0.67,0.36,-0.73,0.007
20180803,0.31,-1.06,0.56,0.007
20180806,0.46,0.26,-0.33,0.007
20180807,0.29,0,-0.14,0.007
20180808,-0.04,-0.13,0.22,0.007
20180809,-0.05,0.35,-0.32,0.007
20180810,-0.6,0.43,-0.23,0.007
20180813,-0.46,-0.16,-0.31,0.007
20180814,0.69,0.3,0.23,0.007
20180815,-0.91,-0.57,-0.11,0.007
20180816,0.86,-0.08,0.27,0.007
20180817,0.3,0.08,0.04,0.007
20180820,0.25,0.12,0.18,0.007
20180821,0.33,0.87,0.14,0.007
20180822,0.05,0.41,-0.45,0.007
20180823,-0.19,-0.06,-0.32,0.007
20180824,0.62,-0.04,-0.51,0.007
20180827,0.74,-0.69,-0.11,0.007
20180828,-0.01,-0.12,-0.29,0.007
20180829,0.56,-0.04,-0.59,0.007
20180830,-0.41,0.3,-0.43,0.007
20180831,0.08,0.49,-0.43,0.007
20180904,-0.11,-0.34,-0.08,0.008
20180905,-0.41,-0.18,0.7,0.008
20180906,-0.44,-0.39,-0.12,0.008
20180907,-0.18,0.09,-0.21,0.008
20180910,0.23,0.1,-0.33,0.008
20180911,0.37,-0.29,-0.21,0.008
20180912,0.03,-0.09,-0.06,0.008
20180913,0.45,-0.46,-0.36,0.008
20180914,0.12,0.26,0.25,0.008
20180917,-0.71,-0.47,0.92,0.008
20180918,0.57,0.06,-0.53,0.008
20180919,0.06,-0.61,1.17,0.008
20180920,0.77,0.29,-0.18,0.008
20180921,-0.13,-0.43,0.39,0.008
20180924,-0.31,0.03,-0.88,0.008
20180925,-0.05,0.3,-0.44,0.008
20180926,-0.4,-0.4,-0.59,0.008
20180927,0.27,-0.26,-0.57,0.008
20180928,-0.03,0.41,-0.19,0.008
20181001,0.16,-1.62,0.38,0.008
20181002,-0.21,-1,0.67,0.008
20181003,0.2,0.88,0.43,0.008
20181004,-0.93,-1.05,1.55,0.008
20181005,-0.64,-0.4,0.4,0.008
20181008,-0.17,-0.38,1.19,0.008
20181009,-0.18,-0.26,0.17,0.008
20181010,-3.33,0.28,1.15,0.008
20181011,-1.96,0.42,-0.88,0.008
20181012,1.38,-0.89,-1.69,0.008
20181015,-0.48,0.92,0.47,0.008
20181016,2.24,0.68,-1.46,0.008
20181017,-0.08,-0.64,0.19,0.008
20181018,-1.54,-0.57,0.53,0.008
20181019,-0.25,-1.32,0.8,0.008
20181022,-0.38,0.43,-1.19,0.008
20181023,-0.62,-0.16,-0.33,0.008
20181024,-3.33,-0.89,0.64,0.008
20181025,1.93,0.47,-0.73,0.008
20181026,-1.65,0.56,0.37,0.008
20181029,-0.77,-0.29,1.64,0.008
20181030,1.66,0.37,0.1,0.008
20181031,1.22,-0.67,-0.69,0.008
20181101,1.29,1.31,-1.11,0.008
20181102,-0.53,0.81,0.64,0.008
20181105,0.4,-0.99,1.56,0.008
20181106,0.58,-0.16,0.03,0.008
20181107,2.11,-0.33,-1.02,0.008
20181108,-0.28,-0.23,0.23,0.008
20181109,-1.04,-0.86,0.39,0.008
20181112,-2.06,-0.02,0.98,0.008
20181113,-0.13,-0.11,0.07,0.008
20181114,-0.77,-0.01,-0.19,0.008
20181115,1.18,0.38,-0.56,0.008
20181116,0.15,-0.01,-0.01,0.008
20181119,-1.88,-0.66,2.33,0.008
20181120,-1.85,0.12,-0.62,0.008
20181121,0.51,0.98,-0.29,0.008
20181123,-0.55,0.78,-0.57,0.008
20181126,1.62,-0.68,-0.18,0.008
20181127,0.11,-1.07,0.29,0.008
20181128,2.42,0.47,-1.27,0.008
20181129,-0.22,-0.12,-0.18,0.008
20181130,0.78,-0.36,-0.38,0.008
20181203,1.13,-0.07,-0.7,0.01
20181204,-3.45,-0.98,-0.1,0.01
20181206,-0.16,0.09,-1,0.01
20181207,-2.36,0.22,1.29,0.01
20181210,0.1,-0.23,-1.57,0.01
20181211,-0.08,-0.08,-0.34,0.01
20181212,0.68,0.55,-0.13,0.01
20181213,-0.26,-1.5,-0.17,0.01
20181214,-1.89,-0.1,0.6,0.01
20181217,-2.13,-0.26,0.99,0.01
20181218,-0.03,-0.01,-0.56,0.01
20181219,-1.58,-0.66,0.18,0.01
20181220,-1.62,-0.24,0.78,0.01
20181221,-2.17,-0.57,0.83,0.01
20181224,-2.55,0.98,-0.45,0.01
20181226,5.06,-0.01,-1.07,0.01
20181227,0.78,-0.68,-0.09,0.01
20181228,-0.03,0.75,0.24,0.01
20181231,0.9,-0.09,-0.47,0.01
20190102,0.23,0.57,1.15,0.01
20190103,-2.45,0.4,1.23,0.01
20190104,3.55,0.44,-0.74,0.01
20190107,0.94,0.93,-0.67,0.01
20190108,1.01,0.49,-0.53,0.01
20190109,0.56,0.5,-0.04,0.01
20190110,0.42,0.01,-0.41,0.01
20190111,-0.01,0.1,0.29,0.01
20190114,-0.6,-0.57,0.88,0.01
20190115,1.06,0,-0.88,0.01
20190116,0.28,0.1,0.83,0.01
20190117,0.75,0.1,-0.19,0.01
20190118,1.29,-0.34,0.11,0.01
20190122,-1.53,-0.39,0.3,0.01
20190123,0.15,-0.41,-0.13,0.01
20190124,0.23,0.45,-0.1,0.01
20190125,0.9,0.46,-0.37,0.01
20190128,-0.8,-0.17,0.65,0.01
20190129,-0.19,0,0.17,0.01
20190130,1.51,-0.1,-1.06,0.01
20190131,0.92,0.14,-1.08,0.01
20190201,0.14,-0.12,0.34,0.01
20190204,0.72,0.52,-0.57,0.01
20190205,0.43,-0.09,-0.56,0.01
20190206,-0.22,-0.01,0.01,0.01
20190207,-0.93,-0.14,0.41,0.01
20190208,0.09,0.02,-0.67,0.01
20190211,0.14,0.65,0.2,0.01
20190212,1.36,0.04,-0.24,0.01
20190213,0.28,0.09,0.05,0.01
20190214,-0.21,0.51,-0.55,0.01
20190215,1.13,0.23,0.53,0.01
20190219,0.19,0.28,0.32,0.01
20190220,0.19,0.21,0.59,0.01
20190221,-0.37,-0.06,-0.25,0.01
20190222,0.65,0.51,-1.37,0.01
20190225,0.15,-0.23,-0.2,0.01
20190226,-0.16,-0.64,-0.3,0.01
20190227,0.09,0.22,-0.15,0.01
20190228,-0.31,0.01,-0.28,0.01
20190301,0.72,0.31,-0.48,0.009
20190304,-0.52,-0.38,0.32,0.009
20190305,-0.17,-0.32,-0.22,0.009
20190306,-0.84,-1.28,0.09,0.009
20190307,-0.82,-0.07,-0.27,0.009
20190308,-0.22,0.04,-0.13,0.009
20190311,1.49,0.33,-0.49,0.009
20190312,0.25,-0.27,-0.04,0.009
20190313,0.68,-0.3,0.01,0.009
20190314,-0.1,-0.37,0.23,0.009
20190315,0.48,-0.28,-0.28,0.009
20190318,0.46,0.17,0.34,0.009
20190319,-0.09,-0.37,-0.89,0.009
20190320,-0.39,-0.01,-0.99,0.009
20190321,1.11,0.25,-1.12,0.009
20190322,-2.17,-1.57,0.07,0.009
20190325,-0.05,0.65,-0.29,0.009
20190326,0.76,0.19,0.43,0.009
20190327,-0.5,0.09,0.51,0.009
20190328,0.4,0.39,-0.1,0.009
20190329,0.66,-0.26,-0.84,0.009
20190401,1.19,-0.29,0.96,0.01
20190402,-0.05,-0.13,-0.41,0.01
20190403,0.27,0.2,-0.37,0.01
20190404,0.19,0.21,0.95,0.01
20190405,0.52,0.51,-0.02,0.01
20190408,0.08,-0.3,0.12,0.01
20190409,-0.65,-0.59,-0.08,0.01
20190410,0.48,0.94,-0.06,0.01
20190411,0,-0.34,0.43,0.01
20190412,0.65,-0.52,0.69,0.01
20190415,-0.09,-0.21,-0.59,0.01
20190416,0.13,0.15,0.63,0.01
20190417,-0.32,-0.68,0.78,0.01
20190418,0.11,-0.26,-0.47,0.01
20190422,0.11,-0.44,-0.56,0.01
20190423,0.97,0.73,-0.58,0.01
20190424,-0.23,0.31,-0.22,0.01
20190425,-0.14,-0.71,-0.26,0.01
20190426,0.53,0.43,0.05,0.01
20190429,0.18,0.11,0.61,0.01
20190430,-0.04,-0.69,0.25,0.01
20190501,-0.83,-0.1,-0.06,0.009
20190502,-0.16,0.49,-0.49,0.009
20190503,1.13,0.95,-0.27,0.009
20190506,-0.39,0.62,-0.45,0.009
20190507,-1.69,-0.29,0.53,0.009
20190508,-0.21,-0.15,-0.3,0.009
20190509,-0.28,0.08,0.09,0.009
20190510,0.35,-0.36,0.11,0.009
20190513,-2.67,-0.73,0.36,0.009
20190514,0.93,0.4,-0.03,0.009
20190515,0.58,0.04,-0.94,0.009
20190516,0.91,-0.41,-0.24,0.009
20190517,-0.73,-0.81,0.35,0.009
20190520,-0.65,-0.23,0.79,0.009
20190521,0.9,0.41,-0.34,0.009
20190522,-0.4,-0.49,-0.63,0.009
20190523,-1.37,-0.7,-0.23,0.009
20190524,0.23,0.51,0.29,0.009
20190528,-0.78,0.27,-0.6,0.009
20190529,-0.71,-0.27,0.44,0.009
20190530,0.14,-0.29,-0.78,0.009
20190531,-1.37,-0.15,-0.21,0.009
20190603,-0.4,0.4,1.44,0.009
20190604,2.33,0.45,-0.17,0.009
20190605,0.69,-1.01,-0.91,0.009
20190606,0.55,-1.02,-0.01,0.009
20190607,1.04,-0.01,-1.15,0.009
20190610,0.53,0,-0.07,0.009
20190611,-0.12,-0.26,0.59,0.009
20190612,-0.2,0.36,-0.89,0.009
20190613,0.52,0.66,-0.01,0.009
20190614,-0.27,-0.75,0.3,0.009
20190617,0.15,0.61,-1.08,0.009
20190618,1.04,0.2,0.19,0.009
20190619,0.32,0.11,-0.59,0.009
20190620,0.89,-0.36,-0.23,0.009
20190621,-0.21,-0.45,-0.07,0.009
20190624,-0.34,-0.92,0.15,0.009
20190625,-0.98,0.34,0.74,0.009
20190626,-0.06,-0.06,0.22,0.009
20190627,0.6,1.41,-0.09,0.009
20190628,0.68,0.65,0.61,0.009
